State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201801,Live audio/video,All," 6,905 ",5.6,
Alabama,2018,201801,Other telehealth,All, -   ,0,
Alabama,2018,201801,Remote patient monitoring,All, -   ,0,
Alabama,2018,201801,Store and forward,All, -   ,0,
Alabama,2018,201802,Live audio/video,All," 4,821 ",3.9,
Alabama,2018,201802,Other telehealth,All, -   ,0,
Alabama,2018,201802,Remote patient monitoring,All, -   ,0,
Alabama,2018,201802,Store and forward,All, -   ,0,
Alabama,2018,201803,Live audio/video,All," 2,269 ",1.8,
Alabama,2018,201803,Other telehealth,All, -   ,0,
Alabama,2018,201803,Remote patient monitoring,All, DS ,DS,
Alabama,2018,201803,Store and forward,All, -   ,0,
Alabama,2018,201804,Live audio/video,All," 2,290 ",1.8,
Alabama,2018,201804,Other telehealth,All, -   ,0,
Alabama,2018,201804,Remote patient monitoring,All, -   ,0,
Alabama,2018,201804,Store and forward,All, -   ,0,
Alabama,2018,201805,Live audio/video,All," 2,380 ",1.9,
Alabama,2018,201805,Other telehealth,All, -   ,0,
Alabama,2018,201805,Remote patient monitoring,All, -   ,0,
Alabama,2018,201805,Store and forward,All, -   ,0,
Alabama,2018,201806,Live audio/video,All," 2,044 ",1.6,
Alabama,2018,201806,Other telehealth,All, -   ,0,
Alabama,2018,201806,Remote patient monitoring,All, -   ,0,
Alabama,2018,201806,Store and forward,All, -   ,0,
Alabama,2018,201807,Live audio/video,All," 2,113 ",1.7,
Alabama,2018,201807,Other telehealth,All, -   ,0,
Alabama,2018,201807,Remote patient monitoring,All, DS ,DS,
Alabama,2018,201807,Store and forward,All, -   ,0,
Alabama,2018,201808,Live audio/video,All," 2,420 ",1.9,
Alabama,2018,201808,Other telehealth,All, -   ,0,
Alabama,2018,201808,Remote patient monitoring,All, -   ,0,
Alabama,2018,201808,Store and forward,All, -   ,0,
Alabama,2018,201809,Live audio/video,All," 2,035 ",1.6,
